csfgID,ra,dec,X0,Y0,PA,ell,n,I_e,r_e,z,R_e_kpc,logMstars
18453,171.913987898532,3.99704399724216,120.4224,120.7497,73.1086,0.184396,1.62225,3.0378,0.009694763501808002,0.04007229,1.5851583368298472,9.194
18532,354.242914859438,-0.306424316672912,119.5799,120.2105,-51.5476,0.422466,1.05416,6.1201,0.0077884636061232,0.04785172,1.505996750513465,
18621,159.946839774376,0.717252101604122,119.7711,120.2715,9.84688,0.0491642,0.778317,6.31281,0.00666800570436,0.08014129,2.080005475240656,9.653
18630,148.193000515962,3.95201442656456,119.5604,121.5223,-33.329,0.45708,0.673124,9.12915,0.0078610751685312,0.1226755,3.574645491543018,10.224
18658,216.247649324836,-1.8685579081927,120.6372,119.614,29.8705,0.346948,1.52549,5.95082,0.008690826184656,0.03016055,1.0814636871553829,9.036
18773,136.207009270234,1.82454840315358,119.9294,120.098,-91.4251,0.225575,1.13336,10.4886,0.007631422267391999,0.05366306,1.6436369537555264,9.674
18804,130.34949253373,3.44550993746696,119.9413,120.1281,82.4331,0.317107,1.50746,13.3927,0.0079138946842032,0.02672426,0.8761904125989373,8.979
18823,7.21489187730046,-1.07286976686547,119.8555,120.6147,-24.416,0.208857,1.78947,5.34229,0.008551467369984,0.03329302,1.1704100478253234,9.142
18837,157.758735181699,0.767368381667201,119.28,119.3342,-11.6008,0.297111,0.813795,5.86719,0.00840795466896,0.09899052,3.1697438841746934,9.839
18887,202.222292963628,0.841957519336774,119.5495,120.3208,-13.6435,0.411988,1.05501,3.5261,0.007797854647228799,0.08240394,2.4942766104527676,9.745
